BBLCOUNT        1.0         0
0x7fcb5f646ac0 1 5 26
0x7fcb5f646840 1 7 30
0x7fcb5f64685e 0 3 15
0x7fcb5f64686d 0 5 23
0x7fcb5f646888 1 2 8
0x7fcb5f646890 1 3 12
0x7fcb5f64689c 1 1 2
0x7fcb5f645a90 1 4 18
0x7fcb5f645aa2 1 3 16
0x7fcb5f645ab2 0 5 23
0x7fcb5f645ac7 1 1 2
0x7fcb5f645590 1 4 23
0x7fcb5f6455a7 0 5 24
0x7fcb5f6455bd 1 1 2
0x7fcb5f646970 1 5 28
0x7fcb5f64698c 1 4 14
0x7fcb5f64699a 1 4 16
0x7fcb5f6469aa 1 5 21
0x7fcb5f660400 2 8 42
0x7fcb5f645a30 2 8 42
0x7fcb5f645600 1 6 30
0x7fcb5f646bd0 1 5 25
0x7fcb5f646be9 0 3 11
0x7fcb5f646bf4 0 3 12
0x7fcb5f646c15 1 1 2
0x7fcb5f6455d0 1 4 23
0x7fcb5f6455e7 0 5 24
0x7fcb5f6455fd 1 1 2
0x7fcb5f646d10 1 5 28
0x7fcb5f646d2c 1 4 14
0x7fcb5f646d3a 1 2 9
0x7fcb5f645ad0 1 4 23
0x7fcb5f645ae7 0 5 24
0x7fcb5f645afd 1 1 2
0x7fcb5f646b80 1 5 25
0x7fcb5f646b99 0 3 11
0x7fcb5f646ba4 0 3 12
0x7fcb5f646bc5 1 1 2
0x7fcb5f645520 1 4 23
0x7fcb5f645537 0 5 24
0x7fcb5f64554d 1 1 2
0x7fcb5f645b00 1 8 42
0x7fcb5f673290 1 18 81
0x7fcb5f6732e1 0 3 13
0x7fcb5f6732ee 0 4 24
0x7fcb5f6732bf 3 10 34
0x7fcb5f6732e1 1 3 13
0x7fcb5f646950 2 5 26
0x7fcb5f6468ca 2 2 9
0x7fcb5f6732ee 1 4 24
0x7fcb5f6f2510 4 9 42
0x7fcb5f6f253a 4 12 58
0x7fcb5f6f2574 4 6 14
0x7fcb5f6f2582 4 2 7
0x7fcb5f6f2589 4 2 5
0x7fcb5f6f258e 4 6 26
0x7fcb5f6f25a8 4 2 5
0x7fcb5f673306 1 5 19
0x7fcb5f648150 1 8 42
0x7fcb5f661700 2 8 42
0x7fcb5f646a10 1 5 28
0x7fcb5f646a2c 1 4 14
0x7fcb5f646a3a 1 2 9
0x7fcb5f6468bc 2 4 14
0x7fcb5f645de0 1 6 30
0x7fcb5f646b50 1 4 23
0x7fcb5f646b67 0 5 24
0x7fcb5f646b7d 1 1 2
0x7fcb5f646b20 1 4 23
0x7fcb5f646b37 0 5 24
0x7fcb5f646b4d 1 1 2
0x7fcb5f648180 1 8 42
0x7fcb5f646c70 1 5 25
0x7fcb5f646c89 0 3 11
0x7fcb5f646c94 0 3 12
0x7fcb5f646cb5 1 1 2
0x7fcb5f673370 1 18 81
0x7fcb5f6733c1 0 3 13
0x7fcb5f6733ce 0 4 24
0x7fcb5f67339f 3 10 34
0x7fcb5f6733c1 1 3 13
0x7fcb5f6733ce 1 4 24
0x7fcb5f6733e6 1 5 19
0x7fcb5f646dc0 1 5 26
0x7fcb5f6468a0 2 5 28
0x7fcb5f662960 1 6 34
0x7fcb5f662982 0 5 24
0x7fcb5f662998 1 1 2
0x7fcb5f6617b0 2 7 36
0x7fcb5f6617d4 0 1 2
0x7fcb5f6617e0 2 6 31
0x7fcb5f645b30 1 6 30
0x7fcb5f645550 1 7 36
0x7fcb5f6611c0 1 8 42
0x7fcb5f646810 1 8 42
0x7fcb5f646c65 1 1 2
0x7fcb5f646c44 0 3 12
0x7fcb5f646c39 0 3 11
0x7fcb5f646c20 1 5 25
0x7fcb5f64ca50 1 8 42
0x7fcb5f645a00 1 8 42
0x7fcb5f645589 1 1 2
0x7fcb5f645574 0 5 23
0x400538 0 1 2
0x400528 1 4 16
0x40053a 1 2 5
0x400540 3 2 12
0x400566 1 2 10
0x400560 664579 1 6
0x400580 1 1 6
0x400586 1 2 10
0x4005a0 2 1 6
0x4005a6 1 2 10
0x4005d0 1 4 14
0x4005f6 1 3 7
0x4005de 0 4 16
0x4005ee 1 2 8
0x400600 1 11 42
0x400630 1 5 17
0x400641 0 3 10
0x40064b 0 3 8
0x400658 1 2 2
0x400660 1 10 35
0x400683 0 3 10
0x40068d 0 3 8
0x400698 1 2 2
0x4006b2 1 3 9
0x4006a0 1 2 9
0x4006a9 1 3 9
0x4006d0 1 4 7
0x4008c8 1 3 9
0x400980 1 2 5
0x400965 0 5 25
0x40095c 445 2 9
0x400940 3160 9 28
0x4008d1 445 12 39
0x4008c8 445 3 9
0x4008b8 446 4 16
0x4008ac 1 6 28
0x40088e 1 7 30
0x40087e 1 4 16
0x400844 1 12 58
0x40083b 1 2 9
0x400934 654804 2 5
0x400939 1 10 35
0x40095c 1 2 9
0x400900 9185965 3 9
0x400909 9185520 8 24
0x400921 654803 5 19
0x400921 1 5 19
0x400909 655249 8 24
0x4008fd 0 1 2
0x400820 1 10 27
0x4008f8 446 2 5
0x4008d8 23491582 11 32
0x4008d1 1 12 39
0x4009c8 1 8 15
0x400985 1 3 11
0x400999 9776 8 23
0x4009b0 0 5 19
0x400990 149457 3 9
0x400999 149456 8 23
0x4009b0 9775 5 19
0x4009c3 9775 2 5
0x4009c8 0 8 15
0x400b56 1 6 23
0x400b51 1 2 5
0x400b6d 1 3 9
0x400b76 1 8 15
0x400b20 1 15 49
0x400b94 1 3 9
